,index,text,evergreen,kcbert
0,0,펜트하우스,0.4435873031616211,0.5378334522247314
1,1,수련언니,0.4570666253566742,0.5196093916893005
2,2,무사만루,0.47591593861579895,0.5072726607322693
3,3,안무영상,0.47799453139305115,0.5106866359710693
4,4,기습공격,0.48118117451667786,0.5205938816070557
5,5,다크몬스터,0.4816390573978424,0.5887911915779114
6,6,일어낫다,0.4848391115665436,0.4982357621192932
7,7,아웃카운트,0.4880509674549103,0.5514876246452332
8,8,파트분배,0.4937267005443573,0.5570586323738098
9,9,동물농장,0.49381309747695923,0.5500169396400452
10,10,기립박수,0.49388623237609863,0.5368639230728149
11,11,수지서현,0.49391305446624756,0.5511640310287476
12,12,셀카듀스,0.4964144229888916,0.5348709225654602
13,13,감방생활,0.5001205205917358,0.5265327095985413
14,14,프리허그,0.5029173493385315,0.5511224269866943
15,15,자빱사단,0.5042189359664917,0.5405046343803406
16,16,대면팬싸,0.5042880177497864,0.5500249862670898
17,17,안경에이스,0.5061282515525818,0.5532220602035522
18,18,심야영화,0.5072522759437561,0.5261035561561584
19,19,딥상어동,0.5128222107887268,0.580600917339325
20,20,아쿠아리움,0.5130828619003296,0.5532731413841248
21,21,기레기들,0.5154125690460205,0.5154125690460205
22,22,쫀아에용,0.5156267881393433,0.5498336553573608
23,23,연습영상,0.5171221494674683,0.5470317602157593
24,24,섬온화님,0.5206042528152466,0.593776285648346
25,25,자빱티비,0.5207324624061584,0.553764820098877
26,26,제이굿즈,0.5212659239768982,0.5911272764205933
27,27,투르크메니스탄,0.5219349265098572,0.6315139532089233
28,28,자이언츠,0.5225383043289185,0.5578067302703857
29,29,생일해시,0.5229348540306091,0.5478468537330627
30,30,페인킬러,0.5257285833358765,0.5872180461883545
31,31,바다동물,0.5277479887008667,0.5383391976356506
32,32,라플라스,0.5283622145652771,0.5536282062530518
33,33,원더케이,0.528901994228363,0.5549123883247375
34,34,아이돌등판,0.5351278781890869,0.5651501417160034
35,35,자컾연성,0.5388129949569702,0.5261812806129456
36,36,취향겹침표,0.5398992300033569,0.6260984539985657
37,37,드레이코,0.5408696532249451,0.5789704322814941
38,38,배경화면,0.5460717082023621,0.5464704632759094
39,39,사법연수원,0.5504940748214722,0.6131240725517273
40,40,사운드트랙,0.5516271591186523,0.587307870388031
41,41,젠더퀴어,0.552072286605835,0.5884550213813782
42,42,디저트39,0.5674340724945068,0.6489730477333069
43,43,로드스터,0.5770673155784607,0.6060246229171753
44,44,강다니엘,0.5783777236938477,0.583898663520813
45,45,경멸하나,0.5798037648200989,0.6129933595657349
46,46,시스젠더,0.5957373976707458,0.6522526144981384
47,47,개인그림,0.5975425839424133,0.6389263272285461
48,48,불로장생,0.597987949848175,0.6166248321533203
49,49,연성문장,0.5984424948692322,0.6306439638137817
50,50,물고기들,0.6059635877609253,0.6190648674964905
51,51,판타블렛,0.6065784096717834,0.655339777469635
52,52,전공공부,0.6079373359680176,0.6043638586997986
53,53,헬로헬로,0.6150274872779846,0.6633657813072205
54,54,취업준비,0.6184924244880676,0.6387489438056946
55,55,뉴스원샷,0.6500152945518494,0.6875448822975159
56,56,신규확진,0.6643559336662292,0.673912763595581
57,57,불우이웃,0.6745096445083618,0.697888970375061
58,58,뮤직뱅크,0.6784195899963379,0.7125417590141296
59,59,느낌표느낌표,0.742570161819458,0.7743648886680603
60,60,경멸신한,0.7460387945175171,0.7688027024269104
61,61,헤럴드POP,0.751125156879425,0.7957601547241211
62,62,군수송기,0.7638810873031616,0.7733971476554871
63,63,박지훈X,0.7731376886367798,0.8006885647773743
64,64,가정했을때,0.7877405881881714,0.789606511592865
65,65,이글읽고난다음,0.8039190769195557,0.8132767677307129
66,66,스타뉴스,0.8059001564979553,0.8134675025939941
67,67,반달모양,0.8203151226043701,0.8216087222099304
68,68,모닝커피,0.8221606016159058,0.826800525188446
69,69,북극바다,0.8391969203948975,0.8516152501106262
70,70,생일너무너무,0.8461271524429321,0.8652154803276062
71,71,총공총공,0.8709568977355957,0.8813402652740479
72,72,맛집여행,0.8771206736564636,0.8889513611793518
73,73,전과목A,0.8916640281677246,0.9021779298782349
74,74,푸른비늘,0.910753607749939,0.9289073944091797
75,75,로또사서,0.9149563312530518,0.9240831732749939
76,76,스물두번째생일,0.917492687702179,0.9334599375724792
77,77,철인3종경기,0.9288130402565002,0.9430176019668579
